heading,content_summary,article_link,img_link,month_date,time,Year,heading_len,word_count,avg_word_len
 in suspected honour killing man kills sister  neighbour in uttar pradesh , In a suspected case of honour killing a man who could not tolerate his minor sisters relationship with a neighbour killed them both by slitting their throats on Saturday night in Farrukhabad district After killing them the man reached the police station with the bloodsoaked knife and surrendered himself to the cops ,https://timesofindia.indiatimes.com/city/kanpur/in-suspected-honour-killing-man-kills-sister-neighbour-in-uttar-pradesh/articleshow/95343780.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95343780,width-300,resizemode-4/95343780.jpg",Nov 07,05:11,2022,76,12,5.25
 uttar pradesh dubai gang chases gold carrier to amethi held , Amethi police busted a Dubaibased gold smuggling gang when a rookie carrier who had run away with a consignment to his village in the district and gangmen hot on his heels landed in cops net ,https://timesofindia.indiatimes.com/city/lucknow/uttar-pradesh-dubai-gang-chases-gold-carrier-to-amethi-held/articleshow/95343736.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95343736,width-300,resizemode-4/95343736.jpg",Nov 07,04:58,2022,65,10,5.4
 delhi man trying to escape from thana killed in hitandrun , An autorickshaw driver accused of harassing a woman died after he was hit by a vehicle while trying to flee Civil Lines police station where he had been brought for questioning ,https://timesofindia.indiatimes.com/city/delhi/delhi-man-trying-to-escape-from-thana-killed-in-hit-and-run/articleshow/95343611.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95343611,width-300,resizemode-4/95343611.jpg",Nov 07,04:19,2022,62,10,5.1
 west delhi murders one more caught , A 19yearold youth was arrested in connection with the triple murder case that took place in west Delhis Hari Nagar earlier this week police said However the alleged mastermind is on the run they added ,https://timesofindia.indiatimes.com/city/delhi/west-delhi-murders-one-more-caught/articleshow/95332073.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95332073,width-300,resizemode-4/95332073.jpg",Nov 06,11:06,2022,37,6,5.0
 delhi two men on a scooty snatch womans phone near hospital , A womans phone was snatched by two men on a scooty in north Delhis Gulabi Bagh area police said ,https://timesofindia.indiatimes.com/city/delhi/delhi-two-men-on-a-scooty-snatch-womans-phone-near-hospital/articleshow/95331326.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95331326,width-300,resizemode-4/95331326.jpg",Nov 06,10:15,2022,63,11,4.636363636363637
 up businessman abducted thrashed for rs 20 lakh ransom , A UPbased Timberwood businessman was allegedly kidnapped and thrashed by a group of people posing as policemen Three men  Amir Iqbal 52 Mohammad Ashraf 50 and Firoj 30  have been arrested in the case so far police said ,https://timesofindia.indiatimes.com/city/delhi/up-businessman-abducted-thrashed-for-rs-20-lakh-ransom/articleshow/95330452.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95330452,width-300,resizemode-4/95330452.jpg",Nov 06,09:08,2022,57,9,5.222222222222222
 ghaziabad suv drags a bike under its wheels for 1km owner held , A man has been arrested for dragging a bike by his speeding car for over one kilometre in the Indirapuram area after a video of the road rage incident went viral on social media ,https://timesofindia.indiatimes.com/city/ghaziabad/ghaziabad-suv-drags-a-bike-under-its-wheels-for-1km-owner-held/articleshow/95328480.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95328480,width-300,resizemode-4/95328480.jpg",Nov 06,06:32,2022,66,12,4.416666666666667
 mumbai man sentenced to 10 years rigorous imprisonment for raping minor sisterinlaw , A man who is now 30yearold was convicted and sentenced to 10 years rigorous imprisonment for raping his 17yearold sisterinlaw in 2016 and making her pregnant The matter came to light only when the girl got pregnant ,https://timesofindia.indiatimes.com/city/mumbai/mumbai-man-sentenced-to-10-years-ri-for-raping-minor-sister-in-law/articleshow/95328441.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95328441,width-300,resizemode-4/95328441.jpg",Nov 06,06:28,2022,89,12,6.333333333333333
 bsap jawan killed in bihars munger district , A Bihar Special Armed Police BSAP jawan Ashok Kumar alias Sanoj Kumar was killed by the unidentified miscreants at Badi Ashiqpur under the East Colony police station area in Munger district on Saturday Ashok was posted at Fatuha in Patna district ,https://timesofindia.indiatimes.com/city/patna/bsap-jawan-killed-in-bihars-munger-district/articleshow/95328094.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95328094,width-300,resizemode-4/95328094.jpg",Nov 06,05:33,2022,46,7,5.428571428571429
 bihar kidnapped ara jeweller found murdered 2 held , The kidnapped 72yearold Ara jewellercumlawyer Hariji Gupta was found murdered on Saturday His body was found in a gunny bag from a roadside ditch near Kanhauli village under Shahpur police station area in Bhojpur district ,https://timesofindia.indiatimes.com/city/patna/bihar-kidnapped-ara-jeweller-found-murdered-2-held/articleshow/95328043.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95328043,width-300,resizemode-4/95328043.jpg",Nov 06,05:24,2022,54,8,5.625
 pune tempo driver held for flashing girl in thergaon , The Wakad police on Friday evening arrested tempo driver Bhausaheb Gaikwad 50 on the charge of flashing a 7yearold girl when the minor was playing with her friends on the premises of a housing society in Thergaon in the afternoon ,https://timesofindia.indiatimes.com/city/pune/pune-tempo-driver-held-for-flashing-girl-in-thergaon/articleshow/95328034.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95328034,width-300,resizemode-4/95328034.jpg",Nov 06,05:21,2022,55,9,5.0
 pune couple booked on charge of bid to extort rs 5 crore , A couple from Dapodi have been booked after the medical director of a prominent Karnatakabased academic societys institution in the city lodged a complaint accusing them of cheating and attempting to extort Rs5 crore from the organisation to vacate its property at Sector No 1 in Indrayaninagar ,https://timesofindia.indiatimes.com/city/pune/pune-couple-booked-on-charge-of-bid-to-extort-rs-5-crore/articleshow/95328016.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95328016,width-300,resizemode-4/95328016.jpg",Nov 06,05:16,2022,59,12,3.8333333333333335
 mumbai andheribased pharma company duped of rs 38 lakh by using top officials dp , The chief financial officer of an Andheribased pharmaceutical company has lodged a complaint stating that he was duped of Rs375 lakh by a person who claimed to be the companys director and asked him to transfer money immediately to three bank accounts on November 1 ,https://timesofindia.indiatimes.com/city/mumbai/mumbai-andheri-based-pharma-company-duped-of-rs-38-lakh-by-using-top-officials-dp/articleshow/95327910.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95327910,width-300,resizemode-4/95327910.jpg",Nov 06,04:51,2022,85,14,5.0
 chhattisgarh tuition teacher’s father held for sexually assaulting girls in durg , Durg police have arrested father of a tuition teacher who used to sexually harass girls who would come for classes The man would find an opportunity to chit chat with the girls in absence of teacher and molest them When the girls protested and informed their parents he was arrested after a case registered under POCSO Act ,https://timesofindia.indiatimes.com/city/raipur/chhattisgarh-tuition-teachers-father-held-for-sexually-assaulting-girls-in-durg/articleshow/95326263.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95326263,width-300,resizemode-4/95326263.jpg",Nov 05,22:48,2022,83,11,6.454545454545454
 mumbai kidnapped designer is rescued from gujarat 4 arrested , A 43yearold designer who had been kidnapped from Mumbai and taken to Gujarat by four men was safely rescued by a team of Dindoshi police on Friday Police are still investigating the motive and questioning the accused ,https://timesofindia.indiatimes.com/city/mumbai/mumbai-kidnapped-designer-is-rescued-from-gujarat-4-arrested/articleshow/95310894.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95310894,width-300,resizemode-4/95310894.jpg",Nov 05,06:35,2022,64,9,6.0
 pune man gets shot at on baramatibhigwan road cops book 10 , The district rural police have identified 10 suspects including a criminal on police record for firing at a man on BaramatiBhigwan road on Thursday evening ,https://timesofindia.indiatimes.com/city/pune/pune-man-gets-shot-at-on-baramati-bhigwan-road-cops-book-10/articleshow/95310450.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95310450,width-300,resizemode-4/95310450.jpg",Nov 05,05:13,2022,63,11,4.636363636363637
 3 seniors blackmail thane engineering student with porn video  extort rs 30 lakh , Three persons from Kolhapur have been booked for blackmailing an engineering student from Dombivli and extorting Rs 30 lakh from himThe trioSagar Rajput Shubham Jadhav and Rohan Sanghrajwere the victims seniors in a private engineering college in the district ,https://timesofindia.indiatimes.com/city/thane/3-seniors-blackmail-thane-engineering-student-with-porn-video-extort-rs-30-lakh/articleshow/95310194.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95310194,width-300,resizemode-4/95310194.jpg",Nov 05,04:25,2022,83,14,4.857142857142857
 builder paras porwal jumps to death from 23rd floor of mumbai highrise , A realestate developer allegedly died by suicide by jumping from the 23rd floor of a building in Mumbai on Thursday ,https://timesofindia.indiatimes.com/city/mumbai/builder-dies-by-suicide-by-jumping-off-high-rise-building-in-mumbai/articleshow/94980738.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-94980738,width-300,resizemode-4/94980738.jpg",Oct 20,11:30,2022,73,12,5.0
 1 held for stealing suv from delhi cantonment police , A 24yearold man has been arrested for allegedly stealing a sports utility vehicle SUV from the Delhi Cantonment area after he along with two of his two associates held the driver of the car at gunpoint police said on Friday Accused Saurabh is a resident of the JJ colony in Khanpur they added ,https://timesofindia.indiatimes.com/city/delhi/1-held-for-stealing-suv-from-delhi-cantonment-police/articleshow/95303824.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95303824,width-300,resizemode-4/95303824.jpg",Nov 04,18:02,2022,55,9,5.0
 ernakulam dist sees surge in number of narcotic cases , Even though the government is strongly pushing antinarcotic activities through the coordinated efforts of various departments the latest figures of enforcement details in Ernakulam excise division show that along with awareness creation there is a need to strengthen the enforcement ,https://timesofindia.indiatimes.com/city/kochi/ernakulam-dist-sees-surge-in-number-of-narcotic-cases/articleshow/95289855.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95289855,width-300,resizemode-4/95289855.jpg",Nov 04,08:37,2022,55,9,5.0
 visakhapatnam two juveniles get 3year jail for raping girl , The second additional metropolitan magistrate and principal magistrate of Juvenile Justice Board of Vizag city sentenced two juveniles to three years of imprisonment in Special Juvenile Home for raping a sevenyearold girl in 2018 ,https://timesofindia.indiatimes.com/city/visakhapatnam/two-juveniles-get-3-year-jail-for-raping-girl/articleshow/95289143.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95289143,width-300,resizemode-4/95289143.jpg",Nov 04,08:15,2022,62,9,5.777777777777778
 bengaluru days after failed atm robbery bid gang of 5 held , Police arrested a gang of five for allegedly attempting to loot an Axis Bank ATM at Srirampura near Jigani on October 22 ,https://timesofindia.indiatimes.com/city/bengaluru/days-after-failed-atm-robbery-bid-gang-of-5-held/articleshow/95288850.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95288850,width-300,resizemode-4/95288850.jpg",Nov 04,08:06,2022,62,11,4.545454545454546
 spa owner others lose rs 68 lakh to fraudster in bengaluru , A 31yearold nailspa owner filed a complaint accusing a customerturnedfamily friend of cheating her colleagues and family members of Rs 68 lakh on the pretext of getting gold ornaments and electronic gadgets at cheaper rates from the customs department ,https://timesofindia.indiatimes.com/city/bengaluru/spa-owner-others-lose-68l-to-fraudster/articleshow/95288843.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95288843,width-300,resizemode-4/95288843.jpg",Nov 04,08:06,2022,61,11,4.454545454545454
 harassed businessman hangs himself in bengaluru , A 40yearold businessman allegedly hanged himself to death at his residence in Indiranagar near Peenya on Tuesday over financial issues The deceased is Dayananda who ran a hotel ,https://timesofindia.indiatimes.com/city/bengaluru/harassed-bizman-hangs-himself/articleshow/95288824.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95288824,width-300,resizemode-4/95288824.jpg",Nov 04,08:05,2022,50,6,7.166666666666667
